user,dataset,FromMe,ToCcPosition,HasAttachments,BodyLength,SubjectLength,Sender,repliedTo
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,User39D0D90,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,129-256,17-32,UserC7835DB,False
User35CB8E5,Train,0.0,FirstOnToLine,1.0,513-1023,33-64,User704E9D3,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,UserF55659,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,User771F5C2,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,513-1023,17-32,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,17-32,33-64,UserD6FC362,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,9-16,33-64,UserD6FC362,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,User76AE54C,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,1.0,>1023,>64,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,UserD68FB8A,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,UserD68FB8A,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,UserE8E6CFF,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,UserFBA10A8,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,User771F5C2,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User39D0D90,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,User1266AE5,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User522EA2A,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User60E57AE,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,>64,User53E8860,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,>64,User53E8860,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,UserB8630EB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,User54D8393,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,UserB3C8DD0,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,User5D00338,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,User64E23DB,False
