user,dataset,FromMe,ToCcPosition,HasAttachments,BodyLength,SubjectLength,SubjectPrefix,Sender,Recipient,repliedTo
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User53E8860,User35CB8E5,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,no prefix,User39D0D90,User86F0255,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,129-256,17-32,re,UserC7835DB,User35CB8E5,False
User35CB8E5,Train,0.0,FirstOnToLine,1.0,513-1023,33-64,Other,User704E9D3,User35CB8E5,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,no prefix,UserF55659,UserB51F486,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User771F5C2,User35CB8E5,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,513-1023,17-32,no prefix,User53E8860,User35CB8E5,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,User677FB78,User7944268,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,UserD1CDFAD,User677FB78;User7944268,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserFF2777E,User677FB78;User7944268;UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,User7944268;UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User677FB78,User7944268;UserD1CDFAD;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,17-32,33-64,re,UserD6FC362,User677FB78;User7944268;UserD1CDFAD;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,UserF9F18CB,User677FB78;User7944268;UserD1CDFAD;UserD6FC362;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User677FB78,User7944268;UserD1CDFAD;UserD6FC362;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserD1CDFAD,User677FB78;User7944268;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User4E02666,User677FB78;User7944268;UserD1CDFAD;UserD6FC362;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User4E02666,User677FB78;UserA95670F;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserD1CDFAD,User4E02666;User677FB78;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User677FB78,User4E02666;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,9-16,33-64,re,UserD6FC362,User4E02666;User677FB78;UserD1CDFAD;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,UserF9F18CB,User4E02666;User677FB78;UserD1CDFAD;UserD6FC362;UserDF3C094;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,User4E02666;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,User4E02666;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserF9F18CB,User4E02666;User677FB78;UserD1CDFAD;UserD6FC362;UserDF3C094;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,User76AE54C,User4E02666;User677FB78;UserD1CDFAD;UserD6FC362;UserDF3C094;UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,User4E02666,User677FB78;UserA95670F;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User677FB78,User4E02666;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,User4E02666,User677FB78;UserA95670F;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,User4E02666;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,User4E02666,User677FB78;UserA95670F;UserD1CDFAD;UserD6FC362;UserF9F18CB;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,UserF9F18CB,User4E02666;User677FB78;UserD1CDFAD;UserD6FC362;UserDF3C094;UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,1.0,>1023,>64,no prefix,User53E8860,,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,User85D0469,UserDF3C094,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User316B945,User85D0469;UserDF3C094,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User85D0469,User316B945;UserDF3C094,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,UserD68FB8A,User316B945;User85D0469;UserDF3C094,False
