user,dataset,FromMe,ToCcPosition,HasAttachments,BodyLength,SubjectLength,SubjectPrefix,Sender,repliedTo
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,no prefix,User39D0D90,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,129-256,17-32,re,UserC7835DB,False
User35CB8E5,Train,0.0,FirstOnToLine,1.0,513-1023,33-64,Other,User704E9D3,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,no prefix,UserF55659,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User771F5C2,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,513-1023,17-32,no prefix,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserFF2777E,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,17-32,33-64,re,UserD6FC362,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserD1CDFAD,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,9-16,33-64,re,UserD6FC362,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,User76AE54C,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User677FB78,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,User4E02666,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,UserF9F18CB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,1.0,>1023,>64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,re,UserD68FB8A,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,UserD68FB8A,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,re,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User85D0469,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,33-64,33-64,re,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,no prefix,UserE8E6CFF,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,no prefix,UserFBA10A8,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User771F5C2,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,no prefix,User39D0D90,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,17-32,no prefix,User1266AE5,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,no prefix,User522EA2A,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,no prefix,User60E57AE,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,>64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,>64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,FirstOnToLine,0.0,>1023,33-64,no prefix,User53E8860,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,>64,re,UserB8630EB,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,513-1023,33-64,no prefix,User54D8393,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,257-512,33-64,re,UserB3C8DD0,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,129-256,33-64,re,User316B945,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,65-128,33-64,re,User5D00338,False
User35CB8E5,Train,0.0,NotOnToOrCcLine,0.0,>1023,33-64,no prefix,User64E23DB,False
